"start",,,,
"jean-)acques Rousseau",0,21,"PER","richtig"
"Jean-Jacques Rousseau",126,147,"PER","richtig"
"Liebeskorrespondenz",572,591,"PER","falsch"
"religiöse",935,945,"PER","falsch"
"Transparenz absteckten",1806,1828,"PER","falsch"
"Francesco Petrarca",2285,2303,"PER","richtig"
"Laura",2674,2679,"PER","richtig"
,2798,2806,"PER","falsch"
"bcreits",2851,2858,"PER","falsch"
"über",3032,3037,"PER","falsch"
"Abaelard",3276,3284,"PER","unklar"
"über",3316,3321,"PER","falsch"
"Abaelards",3370,3379,"PER","unklar"
,3381,3389,"PER","falsch"
"cine Fiktion",3581,3593,"PER","falsch"
"Rousseau",3730,3738,"PER","richtig"
"Julie ou La nouvelle Héloise",4115,4144,"PER","teilrichtig"
,4429,4438,"PER","falsch"
"Abaelards",4490,4499,"PER","richtig"
"Jean-Jacques Rousseau",4595,4616,"PER","richtig"
"Bemard Gagnebin Marcel Raymond",4688,4718,"PER","richtig"
"Rousseau",4836,4844,"PER","richtig"
"Bezugs",4948,4954,"PER","falsch"
"voyez mes perplexités",5698,5720,"PER","falsch"
"Abaelard",5889,5897,"PER","richtig"
"Robert Lovelace",5922,5937,"PER","richtig"
"Samuel Richardsons",6004,6022,"PER","richtig"
,6322,6328,"PER","falsch"
"Julies Mutter",6591,6604,"PER","richtig"
"naissance",6867,6876,"PER","falsch"
"Saint-Preux",7430,7441,"PER","unklar"
"quelques larmes furtives",8199,8223,"PER","falsch"
"Kuß",10334,10337,"PER","falsch"
"Rousseau",10382,10390,"PER","richtig"
"ma Julie",10628,10636,"PER","richtig"
"suis ivre",10686,10695,"PER","falsch"
,10822,10832,"PER","falsch"
"il fermente",10905,10916,"PER","falsch"
"Claire",11165,11171,"PER","richtig"
,11479,11501,"PER","falsch"
"ce doux lien",11642,11654,"PER","falsch"
"Julie",12041,12046,"PER","richtig"
"Julie",12562,12567,"PER","richtig"
"über",13017,13022,"PER","falsch"
"verführen",13146,13156,"PER","falsch"
"gerät",13511,13517,"PER","falsch"
"mon pere",13571,13579,"PER","falsch"
"recus un",13742,13750,"PER","falsch"
,14050,14055,"PER","falsch"
"J. I",14171,14175,"PER","falsch"
"Julies",14207,14213,"PER","teilrichtig"
"Verfügungsgewalt über",14604,14627,"PER","falsch"
"Heinrich von Kleists",14803,14823,"PER","richtig"
"à lui sans rien dire",15486,15507,"PER","falsch"
"feignis de glisser",16492,16510,"PER","falsch"
"ma mere vint partager",16815,16836,"PER","falsch"
"prête",17962,17973,"PER","falsch"
"crains",18239,18245,"PER","falsch"
"crains",18267,18273,"PER","falsch"
,19423,19433,"PER","falsch"
"Monsieur de Wolmar",19461,19479,"PER","richtig"
"Prcux",19589,19601,"PER","unklar"
"soudaine ...",20158,20170,"PER","falsch"
"éprouvéc",20790,20815,"PER","falsch"
"auguste",20843,20893,"PER","falsch"
"frissonner",20976,20986,"PER","falsch"
"temblante",20988,20997,"PER","falsch"
"pied de la chaire",21070,21087,"PER","falsch"
"donnoit à",21424,21434,"PER","falsch"
"a la paix",21883,21892,"PER","falsch"
"crus sentir",22005,22016,"PER","falsch"
"le seront encore de ma fidélité à",22417,22457,"PER","falsch"
"und Wollen",22619,22644,"PER","falsch"
"Julie",22866,22871,"PER","teilrichtig"
"über",23019,23024,"PER","falsch"
"ma mere",23130,23137,"PER","falsch"
"Julies Hochzeitsbekenntnis",23343,23369,"PER","teilrichtig"
"J",23491,23492,"PER","falsch"
"Saint-Preux",23840,23851,"PER","unklar"
"Jacques Rousseau",24510,24526,"PER","richtig"
"erträumt",24543,24552,"PER","falsch"
"Rousseau",24766,24774,"PER","richtig"
"Rousseau",25347,25355,"PER","richtig"
"Dirscherl",27051,27060,"PER","richtig"
"Graap",27072,27077,"PER","richtig"
"Panegyrismus De J.-J. Rousseau",27375,27405,"PER","richtig"
"Voltaire",27533,27541,"PER","richtig"
"über",27609,27614,"PER","falsch"
"Emile de mēme",27776,27790,"PER","teilrichtig"
"plein de contradictions",27906,27929,"PER","falsch"
"Galle",28093,28098,"PER","falsch"
"de tous",29579,29595,"PER","falsch"
"crus voir le lieu le plus sauvage",29748,29781,"PER","falsch"
"zuhört",31106,31113,"PER","falsch"
"Julie",31123,31128,"PER","teilrichtig"
,31305,31326,"PER","falsch"
"agréable azile",31986,32001,"PER","falsch"
"contemplatifs solitaires",32313,32337,"PER","falsch"
"Edouard",32978,32992,"PER","richtig"
"IV",33643,33648,"PER","falsch"
"naht",34026,34030,"PER","falsch"
"Julie",34074,34079,"PER","teilrichtig"
"Julie",34384,34389,"PER","teilrichtig"
"avec moi",34517,34542,"PER","falsch"
"Rousseau",35261,35282,"PER","richtig"
"Marcel Raymond",35358,35389,"PER","richtig"
"Bd. I",35391,35396,"PER","falsch"
"ruisseaux",35681,35690,"PER","falsch"
,35785,35802,"PER","falsch"
"chaine de roches inaccessibles",36186,36216,"PER","falsch"
"forttrug",36606,36614,"PER","falsch"
"Rainer Maria Rilke",36665,36683,"PER","richtig"
"Milord Edouard",37585,37599,"PER","richtig"
"mais Julie",37782,37792,"PER","teilrichtig"
"qui me",37794,37800,"PER","falsch"
"du bord",37818,37825,"PER","falsch"
"Preux",38605,38617,"PER","falsch"
"Julie",38657,38662,"PER","teilrichtig"
"Verlorene",38701,38710,"PER","falsch"
"perdue",38712,38718,"PER","falsch"
"Seufzer",38901,38908,"PER","falsch"
"cines Tages",39051,39062,"PER","falsch"
"festhält",39464,39473,"PER","falsch"
"mon doux",40193,40201,"PER","falsch"
"suis déja",40429,40439,"PER","falsch"
"Julies",41011,41017,"PER","teilrichtig"
"Wolmar",41134,41140,"PER","richtig"
,41159,41181,"PER","falsch"
"über",41244,41249,"PER","falsch"
"über",41355,41360,"PER","falsch"
,41514,41518,"PER","falsch"
"ean-)acques Rousseau",41519,41539,"PER","richtig"
"Luhmann",42269,42276,"PER","richtig"
"herauslöst",42311,42322,"PER","falsch"
"W. H.]",42901,42907,"PER","falsch"
"connaissez mon cœur et si le votre est sensible encore",42909,42990,"PER","falsch"
"J",42992,42993,"PER","falsch"
"Pierre Choderlos de Laclos",43728,43754,"PER","richtig"
"Briefromans",44808,44822,"PER","falsch"
"destinataire",45069,45083,"PER","falsch"
,45814,45821,"PER","falsch"
"Guilleragues",45877,45889,"PER","falsch"
"Abaelard",46126,46134,"PER","richtig"
"Nouvelle Héloise",46159,46176,"PER","teilrichtig"
"Briefromans",46220,46231,"PER","falsch"
"Laclos",46511,46517,"PER","richtig"
"Picard",46555,46561,"PER","richtig"
"Nouvelle Héloise",46622,46639,"PER","teilrichtig"
"Rousscau",47560,47568,"PER","richtig"
"“Prologues",47896,47906,"PER","falsch"
"Rousseau",48613,48621,"PER","richtig"
"Rousseau",49523,49539,"PER","richtig"
"à la vérité des faits",50325,50349,"PER","falsch"
"à personne",51107,51118,"PER","falsch"
"Julie",53003,53008,"PER","teilrichtig"
"Julies",53014,53020,"PER","teilrichtig"
"Rousseaus",53045,53054,"PER","richtig"
"Julies Seele",53347,53359,"PER","teilrichtig"
"l",53500,53501,"PER","falsch"
"Rousseau",53778,53786,"PER","richtig"
"verstärkt",53891,53901,"PER","falsch"
,54182,54192,"PER","falsch"
"Vous êtes perdus",55836,55853,"PER","falsch"
"vous oubliez que les fruits sont à tous",55855,55898,"PER","falsch"
"Nouvelle Heloise",56323,56339,"PER","teilrichtig"
"Rousseau",56601,56622,"PER","richtig"
"Euwres complètes",56693,56710,"PER","falsch"
"Marcel Raymond",56740,56754,"PER","richtig"
"Bd. III",56756,56763,"PER","falsch"
"Rousseau",57118,57126,"PER","richtig"
"Starobinski",57175,57186,"PER","richtig"
"Julie",58819,58824,"PER","teilrichtig"
"Julies Leiche",58971,58984,"PER","teilrichtig"
,59055,59070,"PER","falsch"
"Jean Starobinski",59164,59180,"PER","richtig"
"Julie mourra heureuse",59343,59364,"PER","teilrichtig"
"Starobinski",59514,59525,"PER","richtig"
"Rousseau",59636,59644,"PER","richtig"
"religiöse",59859,59869,"PER","falsch"
"Augustinus",59889,59899,"PER","richtig"
"Confessiones",59901,59913,"PER","falsch"
"Glaubensbekenntnis",60021,60039,"PER","falsch"
"mitreflektiert",60135,60149,"PER","falsch"
"Assmann",60151,60158,"PER","richtig"
"Nouvelle Héloise",60256,60273,"PER","teilrichtig"
"Madame de Warens",60992,61008,"PER","richtig"
,61781,61785,"PER","falsch"
"ma vie",61808,61814,"PER","falsch"
"Rousseau juge de Jean-Jacques",61872,61901,"PER","teilrichtig"
"Jean-Jacques Rousseau",62180,62201,"PER","richtig"
"Bernard Gagnebin",62258,62274,"PER","richtig"
"Marcel Raymond",62277,62291,"PER","richtig"
"Bd. l",62293,62298,"PER","falsch"
"Jacques Voisine",62363,62378,"PER","richtig"
"lcquel pcut servir de prémiere",62900,62931,"PER","falsch"
"porter le nom de vengeance",63599,63625,"PER","falsch"
"Autoportraits",63795,63808,"PER","falsch"
"Augustinus",64087,64097,"PER","richtig"
"Rousseaus",64939,64948,"PER","richtig"
"vorgestcllt",65105,65116,"PER","falsch"
"Persius cntlehntes",65296,65314,"PER","unklar"
"connois les hommes",66614,66632,"PER","falsch"
"suis autre",66783,66793,"PER","falsch"
"quand elle voudra",66973,66990,"PER","falsch"
,66995,67007,"PER","falsch"
"dirai hautement",67070,67085,"PER","falsch"
,67146,67187,"PER","falsch"
"vrai ce que",67413,67424,"PER","falsch"
,67428,67435,"PER","falsch"
"jamais ce que",67455,67468,"PER","falsch"
"savois être faux",67472,67489,"PER","falsch"
,67612,67617,"PER","falsch"
"gehört",68301,68308,"PER","falsch"
"Link",68777,68781,"PER","falsch"
"Rousseau",69441,69449,"PER","richtig"
"Rousseaus",70284,70293,"PER","richtig"
"sans que",71519,71527,"PER","falsch"
"choses de ce monde dont la surface",71960,71994,"PER","falsch"
"Citoyenne",72962,73018,"PER","unklar"
"Ma mere",73235,73242,"PER","falsch"
,73244,73262,"PER","falsch"
"près de la Cathédrale",73557,73580,"PER","falsch"
"W. H.]",73583,73589,"PER","unklar"
"La simpathie",73636,73648,"PER","falsch"
"ames affermit",73663,73676,"PER","falsch"
"Sigmund Freud",74661,74674,"PER","richtig"
"Freud",74707,74712,"PER","richtig"
"Jean-Jacques",74776,74788,"PER","teilrichtig"
"coûtai la vie à ma mere",74961,74986,"PER","falsch"
"Wort “maman",75313,75324,"PER","falsch"
"Madame de Warens",75381,75397,"PER","richtig"
"mon pere",77155,77163,"PER","falsch"
"W. H.",77166,77171,"PER","unklar"
"me disoit",77173,77182,"PER","falsch"
"Jean Jacques",77184,77196,"PER","unklar"
,77221,77225,"PER","falsch"
"hé bien",77233,77241,"PER","falsch"
"mon pere",77243,77251,"PER","falsch"
"nous allons",77253,77264,"PER","falsch"
"Sohn",78366,78370,"PER","falsch"
"senti",78966,78984,"PER","falsch"
"prägt",79419,79425,"PER","falsch"
"personnage dont",79991,80018,"PER","falsch"
"lisois la vie ...",80022,80039,"PER","falsch"
"Jean-Jacques Rousseau",80679,80700,"PER","richtig"
"Emile II",80702,80710,"PER","richtig"
"Starobinski",81076,81087,"PER","richtig"
"Confessions",82284,82295,"PER","falsch"
"Rousseaus",82459,82468,"PER","richtig"
,83037,83040,"PER","falsch"
"Jean-Jacques",83256,83268,"PER","richtig"
"Glückstopoi",83296,83318,"PER","falsch"
"Rousseaus",83393,83402,"PER","richtig"
"Georg Christoph Lichtenberg",83416,83443,"PER","richtig"
"Rousseau",83825,83833,"PER","richtig"
"etoit morte",84061,84072,"PER","falsch"
"chez le Ministre Lambercier",84163,84190,"PER","teilrichtig"
"à mon",84453,84459,"PER","falsch"
"Bernard",84467,84474,"PER","richtig"
"qui nous gouvemoient",84918,84943,"PER","falsch"
,85392,85402,"PER","falsch"
"Laforgue",85413,85421,"PER","richtig"
"Raymond",85441,85448,"PER","richtig"
"sans que",85858,85866,"PER","falsch"
"mon bonheur que ce sentiment même",85877,85937,"PER","falsch"
"voyois maman",86028,86040,"PER","falsch"
"tois",86065,86078,"PER","falsch"
"Jean-Jacques",87251,87263,"PER","richtig"
"Jean-Jacques",87507,87519,"PER","richtig"
"sortis de cette",87692,87707,"PER","falsch"
"près de cinquante",87771,87789,"PER","falsch"
"Handelns",89818,89826,"PER","falsch"
"prêtre",90262,90284,"PER","falsch"
"partirois volontiers",90289,90309,"PER","falsch"
"à poursuivre",90411,90424,"PER","falsch"
"à mentir",91424,91435,"PER","falsch"
"Jean-Jacques",91713,91725,"PER","richtig"
"sujets de larmes",92026,92047,"PER","falsch"
"enfin caressant",92080,92095,"PER","falsch"
"chiméres",92107,92120,"PER","falsch"
"Heinrich von Kleists",92498,92518,"PER","richtig"
"bon citoyen",93410,93421,"PER","falsch"
,93423,93436,"PER","falsch"
"bon ami",93464,93471,"PER","falsch"
"bon ouvrier",93473,93484,"PER","falsch"
"bon homme en toute chose",93486,93510,"PER","falsch"
"quel tableau",93824,93836,"PER","falsch"
,93962,93965,"PER","falsch"
,94447,94457,"PER","falsch"
"Rousseaus",94574,94583,"PER","richtig"
,94607,94612,"PER","falsch"
"beteuernd",94912,94921,"PER","falsch"
"une demeure imaginaire dans cette",95561,95609,"PER","falsch"
"Rousseaus",95847,95856,"PER","richtig"
"Rousseau",96108,96116,"PER","richtig"
"Jean-Jacques Rousseau",96366,96387,"PER","richtig"
"Les Confessions",96389,96404,"PER","falsch"
"Euvres complètes",96417,96434,"PER","falsch"
"Marcel Raymond",96464,96478,"PER","richtig"
"Bd. I",96480,96485,"PER","falsch"
"Jean-Jacques Rousseau",96605,96626,"PER","richtig"
"Les Confessions",96628,96643,"PER","falsch"
"Jean-Jacques Rousseau",96683,96704,"PER","richtig"
"Bemard Gagnebin",96803,96818,"PER","richtig"
"Marcel Raymond",96821,96835,"PER","richtig"
"Bd. III",96837,96844,"PER","falsch"
"Jean-Jacques Rousseau",96964,96985,"PER","richtig"
"Julie ou La Nouvelle Héloise",96987,97016,"PER","teilrichtig"
"Euvres complètes",97029,97046,"PER","falsch"
"Marcel Raymond",97076,97090,"PER","richtig"
"Bd. II",97092,97098,"PER","falsch"
"Jean-Jacques Rousseau",97218,97239,"PER","richtig"
"Julie ou La nouvelle Héloise",97241,97270,"PER","teilrichtig"
"v. René Pomeau",97272,97293,"PER","richtig"
"Jean-Jacques Rousseau",97344,97365,"PER","richtig"
"Euvres complètes",97367,97384,"PER","falsch"
"v. Bernard Gagnebin Marcel Raymond",97386,97426,"PER","teilrichtig"
"Jean-Jacques Rousseau",97464,97485,"PER","richtig"
"Les Rêveries",97487,97500,"PER","falsch"
"Euvres complètes",97536,97553,"PER","falsch"
"Bernard Gagnebin",97564,97580,"PER","richtig"
"Marcel Raymond",97583,97597,"PER","richtig"
"Bd. I",97599,97604,"PER","falsch"
"Caroline Neubaur",97817,97833,"PER","richtig"
"Karin Kersten",97838,97851,"PER","richtig"
"Frank Baasner",98122,98135,"PER","richtig"
"Gaston Bachelard",98287,98303,"PER","richtig"
"Roland Barthes",98521,98535,"PER","richtig"
"Elisabeth Bronfen",98583,98600,"PER","richtig"
"Nur über",98602,98611,"PER","falsch"
"Weiblichkeit",98630,98642,"PER","falsch"
"Jacques Derida",98769,98783,"PER","richtig"
"De la grammatologie",98785,98804,"PER","falsch"
"Klaus Dirscherl",98818,98833,"PER","richtig"
"Marc Eigeldinger",98878,98894,"PER","richtig"
"Jean-Jacques Rousseau",98896,98917,"PER","richtig"
"Michel Foucault",98987,99002,"PER","richtig"
"Sigmund Freud",99078,99091,"PER","richtig"
"Sigmund Freud Studienausgabe",99172,99200,"PER","teilrichtig"
"v. Alcxander Mitscherlich",99202,99233,"PER","teilrichtig"
"Bd. VIII",99257,99265,"PER","falsch"
"Roland Galle",99400,99412,"PER","richtig"
"Rousseaus Autobiographie",99452,99476,"PER","teilrichtig"
"Henri Gouhier",99610,99623,"PER","richtig"
"Nicola Graap",99687,99699,"PER","richtig"
"Jean-Jacques Rousscaus",99784,99806,"PER","richtig"
"Nouvelle Héloise",99819,99836,"PER","teilrichtig"
,99844,99852,"PER","falsch"
"Dieter Groh",99907,99918,"PER","richtig"
"Joseph Jurt",100228,100239,"PER","richtig"
"“Rousseau",100241,100250,"PER","richtig"
"Begründer ciner",100252,100268,"PER","falsch"
"Nestvold",100295,100325,"PER","falsch"
"Naturzustands",100446,100459,"PER","falsch"
"Rousseau",100466,100474,"PER","richtig"
"Claude",100561,100567,"PER","richtig"
"Marianne Kesting",100584,100600,"PER","richtig"
"Manfred Smuda",100706,100719,"PER","richtig"
"Dietmar Rieger",100866,100880,"PER","richtig"
"Kosellek",100932,100940,"PER","richtig"
"Jules Laforgue",100977,100991,"PER","richtig"
"Jcan-Jacques Rousseau",101004,101025,"PER","richtig"
"Rousseau",101156,101164,"PER","richtig"
"Georg Christoph Lichtenberg",101357,101384,"PER","richtig"
"Schrifen d Briefe",101386,101403,"PER","falsch"
"Wolfgang Promies",101414,101430,"PER","richtig"
"Bd. IIl",101440,101447,"PER","falsch"
"Link",101481,101485,"PER","falsch"
"Vincennes",101525,101534,"PER","richtig"
"Niklas Luhmann",101627,101641,"PER","richtig"
"Nietzsche",101777,101786,"PER","richtig"
"Rilke",101788,101793,"PER","richtig"
"Gerhard Neumann",101964,101979,"PER","richtig"
"“Skandalon",101981,101991,"PER","falsch"
"Kleists",102037,102044,"PER","richtig"
"Cervantes",102072,102081,"PER","richtig"
"von Kleist",102139,102158,"PER","richtig"
"Rudolf Picard",102325,102338,"PER","richtig"
"Marcel Raymond",102499,102513,"PER","richtig"
"Jean-Jacques Rousseau",102515,102536,"PER","richtig"
"Rousseaus Weltbild",102606,102624,"PER","teilrichtig"
"Marthe Robert",102680,102693,"PER","teilrichtig"
"Roman des origines et origines du roman",102695,102734,"PER","falsch"
"Manfred Smuda",102748,102761,"PER","richtig"
"Jean Starobinski",102861,102877,"PER","richtig"
"Bd. I",102893,102898,"PER","falsch"
"Jean Starobinski",103035,103051,"PER","richtig"
"Jean-Jacgues Rousseau",103053,103074,"PER","richtig"
"Rousseau",103164,103172,"PER","richtig"
"Nizet",103200,103205,"PER","unklar"
"Anne Vincent-Buffault",103391,103412,"PER","richtig"
"larmes",103427,103433,"PER","falsch"
"XVIIIe-XIXe siècles",103435,103455,"PER","falsch"
"Familie Kleists",103564,103579,"PER","teilrichtig"
"Neumann",103606,103613,"PER","richtig"
"Rousseau",103713,103721,"PER","richtig"
"Birgit Wagner",103735,103748,"PER","richtig"
"Don Quijote",103915,103926,"PER","richtig"
"Frankenstein",103931,103943,"PER","richtig"
