"Jean-Jacques Rousseau",2310,2331,"PER"
"Rousseau",3269,3277,"PER"
"ses devoirs",4006,4017,"PER"
"Toutes ces merveilles se sont renouvelées depuis peu de générations",4029,4096,"PER"
"citoyen de Genève",4298,4315,"PER"
"Rousseau",4390,4398,"PER"
"Rousseau",5489,5497,"PER"
"metaphernreich",5887,5901,"PER"
"Kant",6900,6904,"PER"
"Rousseau",6944,6952,"PER"
"Melchior Grimm",7843,7857,"PER"
"Rousseau",8643,8651,"PER"
"éclore avec les siècles ses lumières et ses erreurs",9411,9462,"PER"
"ses vices et ses vertus",9464,9487,"PER"
"Rousseaus",9641,9650,"PER"
"Louis XIV",11606,11615,"PER"
"Pierre Bayle",12153,12165,"PER"
"empirisch-rationales",12223,12243,"PER"
"Voltaires Dictionnaire philosophique",12507,12543,"PER"
"Ludwig XIV",13640,13650,"PER"
"Ludwigs",14096,14103,"PER"
"Thronfolgers",14242,14254,"PER"
"Ludwig XV",14276,14285,"PER"
"Fleury",14754,14760,"PER"
"Ludwig XV",14932,14941,"PER"
"Ludwig XVI",14958,14968,"PER"
"Aufklärer",16791,16800,"PER"
"préliminaire",16894,16906,"PER"
"Voltaires Zadig",17509,17524,"PER"
"Montesquieus",17526,17538,"PER"
"lois",17550,17554,"PER"
"Condillacs Traité",17685,17702,"PER"
"Rousseaus",17723,17732,"PER"
"Voltaires",17756,17765,"PER"
"Louis XIV",17776,17785,"PER"
"Discours préliminaire",18095,18116,"PER"
"Le Breton",18146,18155,"PER"
"Malesherbes",18760,18771,"PER"
"Moreaus Pamphlete",19395,19412,"PER"
"Palissots",19518,19527,"PER"
"Diderot",19877,19884,"PER"
"Louis de Jaucourt",19910,19927,"PER"
"Jean Calas",20968,20978,"PER"
"Marmontels",21317,21327,"PER"
"Bélisaire",21350,21359,"PER"
"Feldherrn Belisar",21511,21528,"PER"
"Ludwig XV",21847,21856,"PER"
"Marmontel",22061,22070,"PER"
"Einschnitt",22553,22563,"PER"
"Robespierres",22874,22886,"PER"
"Napoleon",24882,24890,"PER"
"Napoleon",25074,25082,"PER"
"Napoleon",25492,25500,"PER"
"Ludwigs XIV",26291,26302,"PER"
"Mme Pompadour",26355,26368,"PER"
"Mme Dubarry",26370,26381,"PER"
"Ludwigs XIV",26631,26642,"PER"
"Law",26792,26795,"PER"
"Ludwigs XIV",26830,26841,"PER"
"Louis Carrogis Carmontelle",27462,27488,"PER"
"Voltaire",27659,27667,"PER"
"Adrienne Lecouvreur",27756,27775,"PER"
"Marquise de Tencin",27783,27801,"PER"
"Mme Geoffrin",28103,28115,"PER"
"Mlle de Lespinasse",28368,28386,"PER"
"Bayles",29581,29587,"PER"
"Voltaires",30525,30534,"PER"
"Neuwahlen",30599,30608,"PER"
"Chamfort",30689,30697,"PER"
,31307,31313,"PER"
"Diderot",32189,32196,"PER"
"Rétif de la Bretonne",32198,32218,"PER"
"Beaumarchais",32233,32245,"PER"
"lizenziöses Schrifttum",33180,33202,"PER"
"Englands",33941,33949,"PER"
,34468,34481,"PER"
"Charles IX ou l’École des Rois",34540,34570,"PER"
"Napoleon",35723,35731,"PER"
"Ludwigs XIV",35948,35959,"PER"
"eingekerkerten Jansenisten",36147,36173,"PER"
"Voltaire",36443,36451,"PER"
"Diderot",37280,37287,"PER"
"La Mettrie",37292,37302,"PER"
"Voltaire",37316,37324,"PER"
"Rousseau",37364,37372,"PER"
"Montesquieus",37560,37572,"PER"
"Zensur",38221,38227,"PER"
"Voltaire",38483,38491,"PER"
"Rousseau",38496,38504,"PER"
"Diderot",38523,38530,"PER"
"Curé Jean Meslier",39694,39711,"PER"
"Sohn",39713,39717,"PER"
"Schloßherrn",39829,39840,"PER"
"Meslier",40188,40195,"PER"
"Meslier",40511,40518,"PER"
"Voltaire",40856,40864,"PER"
"Voltaire",41754,41762,"PER"
"Bougainville",43869,43881,"PER"
"Voltaires",44119,44128,"PER"
"Fortschritts",44481,44493,"PER"
"Montesquieus",44830,44842,"PER"
"Mme de Staël",44903,44915,"PER"
"Voltaire",45721,45729,"PER"
"Voltaire",46128,46136,"PER"
"Helvétius",46808,46817,"PER"
"Voltaires Traité sur la tolérance",47377,47410,"PER"
"Derselbe Voltaire",47529,47546,"PER"
"Lessings Nathan",47568,47583,"PER"
"Voltaire",47778,47786,"PER"
"Mahomet",47803,47810,"PER"
"Rousseau",48319,48327,"PER"
"Gesellschaftsgefüges",48400,48420,"PER"
"Robespierre",48534,48545,"PER"
"Rousseaus Prinzipien",48682,48702,"PER"
"Voltaire",49575,49583,"PER"
"Martinès de Pasqually",49887,49908,"PER"
"Saint-Martin",49926,49938,"PER"
"Holbachs Système de la nature",50013,50042,"PER"
"Nicolas-Sylvestre Bergier",50642,50667,"PER"
"toujours prêts à s’y introduire",50908,50939,"PER"
"Nous serions réduits à tolérer l’athéisme",50941,50982,"PER"
"monstres",51015,51023,"PER"
"Montesquieu",51085,51096,"PER"
"Helvétius “la cause",51101,51120,"PER"
"calamités de la terre”",51125,51147,"PER"
"Holbachs Système de la Nature",51232,51261,"PER"
"André Lamourette",51682,51698,"PER"
"Rousseaus Anthropologie",51807,51830,"PER"
"Lamourette",52260,52270,"PER"
"Morelly",52450,52457,"PER"
"Babeuf",52964,52970,"PER"
"Marquis de Mirabeau",53351,53370,"PER"
"François Quesnay",53376,53392,"PER"
"Gemeinnutz",54147,54157,"PER"
"Napoleon Bonaparte",55234,55252,"PER"
"Plebiszit",55267,55276,"PER"
"Brumaire",55327,55335,"PER"
"Fortschritte",56590,56602,"PER"
"Voltaire",56718,56726,"PER"
"Rousseaus Nouvelle Héloïse",57340,57366,"PER"
"Encyclopédie",57387,57399,"PER"
"Montesquieus",59189,59201,"PER"
"Rousseaus Staatslehre",59280,59301,"PER"
"Werner Krauss",59701,59714,"PER"
"Jahren",61217,61223,"PER"
"Curé Meslier",62695,62707,"PER"
"Abbé de Mably",62741,62754,"PER"
"Brissot de Warville",62756,62775,"PER"
"Rousseau",62814,62822,"PER"
"mais le changement de la religion",64209,64242,"PER"
"Voltaire",64623,64631,"PER"
"Helvétius",65492,65501,"PER"
"Voltaire",65527,65535,"PER"
"purement de l’",65817,65831,"PER"
"ils changent en mille manières",65892,65922,"PER"
"Diderot",67195,67202,"PER"
"Poésie",67231,67237,"PER"
"Rhétorique",67239,67249,"PER"
"Paul Bénichou",67488,67501,"PER"
"Kunstphilosoph Abbé Dubos",67642,67667,"PER"
"Voltaire",68814,68822,"PER"
"Kammerherr Friedrichs II",68827,68851,"PER"
"abholde Weise Zusammenhänge",69255,69282,"PER"
"Babouc",69470,69476,"PER"
"Voltaires",69498,69507,"PER"
"Voltaires",70945,70954,"PER"
"Gnade",71027,71032,"PER"
"vertueux”",72164,72173,"PER"
"Mme de Staël",74026,74038,"PER"
"Richardson",74271,74281,"PER"
"Rivarol",74550,74557,"PER"
"Diderot",75160,75167,"PER"
"Melchior Grimms Correspondance littéraire",75467,75508,"PER"
"Jakob Heinrich Meister",75566,75588,"PER"
"Petit de Bachaumont",75833,75852,"PER"
"Voltaire",76237,76245,"PER"
"Louis XIV",77138,77147,"PER"
"Prestigeverlusts Frankreichs",77318,77346,"PER"
"Napoleons",77968,77977,"PER"
"André Chénier",78818,78831,"PER"
"Voltaire",80691,80699,"PER"
"Trublet",80969,80976,"PER"
"Dorat",81194,81199,"PER"
"Abbé de Pons",82033,82045,"PER"
"sur le poème épique",82069,82088,"PER"
"Voltaire modellbildend",82621,82643,"PER"
"Louis Racine",82764,82776,"PER"
"Montesquieus",83109,83121,"PER"
"Individuum",84712,84722,"PER"
"Montesquieu",85686,85697,"PER"
"XI-XIV",85807,85813,"PER"
"Voltaire",85820,85828,"PER"
"Eldorado",85881,85889,"PER"
"Merciers Freiheitsbegriff",87725,87750,"PER"
"Narrativik",88209,88219,"PER"
"Dominanz",88344,88352,"PER"
"Charybdis",89221,89230,"PER"
"Pierre-Daniel Huets",89388,89407,"PER"
"Crébillon fils",89629,89643,"PER"
"Mme de Lafayette",90046,90062,"PER"
"Charles Porée",90417,90430,"PER"
"Daguesseau",90600,90610,"PER"
"Sittenroman",91627,91638,"PER"
"Huet",92997,93001,"PER"
"renferment en outre la tradition précieuse",94199,94241,"PER"
"du costume",94254,94264,"PER"
"de la manière de voir",94266,94287,"PER"
"Louis-Sébastien Mercier",94462,94485,"PER"
"Montesquieus",96417,96429,"PER"
"Diderots",97257,97265,"PER"
"Rousseaus Briefroman Julie ou La Nouvelle Héloïse",97604,97653,"PER"
"Rousseau",97860,97868,"PER"
"Richardson",97874,97884,"PER"
"Mme de Staël",98174,98186,"PER"
"Essai sur les fictions",98188,98210,"PER"
"Bernardin de Saint-Pierres Paul et Virginie",98520,98563,"PER"
"Rousseauist",98940,98951,"PER"
"Rétif de la Bretonne",98961,98981,"PER"
"Nicolas",99197,99204,"PER"
"La paysanne pervertie",99400,99421,"PER"
"Sades Justine",99472,99485,"PER"
"Rousseauist",99602,99613,"PER"
"Choderlos de Laclos",99692,99711,"PER"
"Rétifs",99767,99773,"PER"
"Rousseaus Nouvelle Héloïse",100154,100180,"PER"
"Libertiner",100977,100987,"PER"
"Louvet de Couvrays Les amours du chevalier de Faublas",101387,101440,"PER"
"réels",101810,101815,"PER"
"Louvet de Couvrays Briefroman Émilie de Varmont",102626,102673,"PER"
"Louvet",102823,102829,"PER"
"Thermidor",103626,103635,"PER"
"Balzacs",103714,103721,"PER"
"Sénac de Meilhan",103809,103825,"PER"
"Romans",103880,103886,"PER"
"Schauerroman",104326,104338,"PER"
"Sades",105000,105005,"PER"
"les hommes",105351,105361,"PER"
"l’enfer à son secours",105626,105647,"PER"
"Marquis de Sade",105869,105884,"PER"
"Sades",106125,106130,"PER"
"Divin Marquis",106527,106540,"PER"
"Sade",106703,106707,"PER"
"Sade",107649,107653,"PER"
"Sades",107842,107847,"PER"
"Marquis de Sade",108084,108099,"PER"
"romaneske",108137,108146,"PER"
"Georges Duby",108418,108430,"PER"
"Histoire de la vie privée",108440,108465,"PER"
"III",108467,108470,"PER"
"Frank Baasner",108516,108529,"PER"
"La Mettrie",108719,108729,"PER"
"Helvétius",108731,108740,"PER"
"Diderot",108742,108749,"PER"
"Bauer-Funke",108779,108790,"PER"
"Genèse de l’esthétique française",108929,108961,"PER"
"Paul Bénichou",108993,109006,"PER"
"Le Sacre de l’écrivain",109008,109030,"PER"
"Essai sur l’",109043,109055,"PER"
"Christian Bergmann",109336,109354,"PER"
"Roland Bonnei",109418,109431,"PER"
"Catherine Rubinger",109434,109452,"PER"
"Jean-Claude Bourdin",109585,109604,"PER"
"Fernand Braudel",109662,109677,"PER"
"Ernest Labrousse",109680,109696,"PER"
"Peter Bürger",109856,109868,"PER"
"Emst Cassirer",109931,109944,"PER"
"Roger Chartier",109993,110007,"PER"
"Lectures",110009,110017,"PER"
"Pierre Chaunu",110072,110085,"PER"
"La Civilisation de l’Europe",110087,110114,"PER"
"Lumières",110119,110127,"PER"
"Jacques Chouillet",110141,110158,"PER"
"L’",110160,110162,"PER"
"Robert Darnton",110199,110213,"PER"
"Robert Darnton",110298,110312,"PER"
"La Fin des Lumières",110314,110333,"PER"
"Robert Darnton",110373,110387,"PER"
"l’univers de la littérature clandestine au XVIIIe siècle",110410,110466,"PER"
"Robert Darnton",110480,110494,"PER"
"L’Aventure de 1’Encyclopédie",110496,110524,"PER"
"Lumières",110636,110644,"PER"
"Michel Delon",110670,110682,"PER"
"Pierre Malandain",110685,110701,"PER"
"Littérature du XVIIIe siècle",110703,110731,"PER"
"Jean Deprun",110745,110756,"PER"
"Dictionnaire européen des Lumières",110829,110863,"PER"
"Béatrice Didier",110919,110934,"PER"
"Béatrice Didier",110991,111006,"PER"
"Histoire de la littérature française du XVIIIe siècle",111008,111061,"PER"
"Herbert Dieckmann",111075,111092,"PER"
"Jacques Domenech",111145,111161,"PER"
"Les Fondements de la morale dans la philosophie française du XVIIIe siècle",111187,111261,"PER"
"Michèle Duchet",111275,111289,"PER"
"Lumières",111331,111339,"PER"
"Jean Ehrard",111353,111364,"PER"
"Jean Fabre",111447,111457,"PER"
"Lumières",111459,111467,"PER"
"Roger Favre",111624,111635,"PER"
"François Furet",111680,111694,"PER"
"Mona Ozouf",111697,111707,"PER"
"Dictionnaire critique de la Révolution française",111709,111757,"PER"
"Pierre Gascar",111771,111784,"PER"
"Les Ecrivains de la Révolution",111786,111816,"PER"
"Marcel Gauchet",111830,111844,"PER"
"La Révolution",111846,111859,"PER"
"la souveraineté",111874,111889,"PER"
"Paul Geyer",111946,111956,"PER"
"Descartes",112014,112023,"PER"
"Rousseau",112028,112036,"PER"
"Dena Goodman",112053,112065,"PER"
"Pierre Goubert",112169,112183,"PER"
"Daniel Roche",112186,112198,"PER"
"Hans Ulrich Gumbrecht",112455,112476,"PER"
"Paul Hoffmann",112559,112572,"PER"
"Paul Hoffmann",112624,112637,"PER"
"Paul Hazard",112778,112789,"PER"
"Caroline Jacot-Grappa",112867,112888,"PER"
"L’Homme dissonant au dix-huitième siècle",112890,112930,"PER"
"Thomas M. Kavanagh",112945,112963,"PER"
"Erich Köhler",113067,113079,"PER"
"Aufklärung II",113113,113126,"PER"
"Dietmar Rieger",113193,113207,"PER"
"Werner Krauss",113326,113339,"PER"
"Catherine Larrère",113425,113442,"PER"
"L’Invention de l’économie au XVIIIe siècle",113444,113486,"PER"
"Emmanuel Le Roy Ladurie",113536,113559,"PER"
"L’",113561,113563,"PER"
"Louis XIII à Louis XV",113581,113602,"PER"
"Masseau",113634,113641,"PER"
"Robert Mauzi",113717,113729,"PER"
"Robert Mauzi",113823,113835,"PER"
"Maintenant sur ma Route",113837,113860,"PER"
"Orléans",113866,113873,"PER"
"Roland Mortier",113880,113894,"PER"
"Lumières",113928,113936,"PER"
"Roland Mortier",113949,113963,"PER"
"Une nouvelle Catégorie esthétique au siècle des Lumières",113980,114036,"PER"
"François Moureau",114049,114065,"PER"
"Peter Nagy",114112,114122,"PER"
"Lectures interdites",114183,114202,"PER"
"John C. O’Neal",114270,114284,"PER"
"René Pomeau",114488,114499,"PER"
"cosmopolitisme",114524,114538,"PER"
"Pierre Rétat",114589,114601,"PER"
"Le Journalisme d’Ancien Régime",114603,114633,"PER"
"Daniel Roche",114646,114658,"PER"
"Républicains",114660,114672,"PER"
"Gens de culture et Lumières au XVIIIe siècle",114686,114730,"PER"
"Daniel Roche",114744,114756,"PER"
"Jacques Roger",114794,114807,"PER"
"René Pomeau",114970,114981,"PER"
"Roger Garaudy",114983,114996,"PER"
"Jean Fabre",114998,115008,"PER"
"Hans Sanders",115022,115034,"PER"
"Fritz Schalk",115154,115166,"PER"
"Albert Soboul",115225,115238,"PER"
"Jürgen von Stackeiberg",115283,115305,"PER"
"Jean Starobinski",115344,115360,"PER"
"Paul Van Tieghem",115411,115427,"PER"
"Le Sentiment de la nature et le préromantisme européen",115429,115483,"PER"
"Jean Weisgerber",115497,115512,"PER"
"Lise Andriès",115601,115619,"PER"
"Florence Bancaud-Maënen",115700,115723,"PER"
"Rudolf Behrens",115860,115874,"PER"
"Theodizee",115888,115897,"PER"
"Georges Benrekassa",116011,116029,"PER"
"Fables de la personne",116031,116052,"PER"
"Peter Brooks",116104,116116,"PER"
"Cazenobe",116168,116176,"PER"
"Comille",116377,116384,"PER"
"L",116386,116387,"PER"
"Henri Coulet",116444,116456,"PER"
"Valérie van Crugten-André",116503,116528,"PER"
"Le Roman du libertinage",116530,116553,"PER"
"Catherine Cusset",116617,116633,"PER"
"René Démoris",116682,116694,"PER"
"Classicisme aux Lumières",116732,116756,"PER"
"David J. Denby",116770,116784,"PER"
"Klaus Dirscherl",116873,116888,"PER"
"Diderot",116917,116924,"PER"
"Rousseau",116927,116935,"PER"
"William F. Edmiston",116963,116982,"PER"
"Jean Fabre",117075,117085,"PER"
"Roland Galle",117161,117173,"PER"
"Rolf Geißler",117289,117301,"PER"
"Pierre Hartmann",117411,117426,"PER"
"Le Contrat et la séduction",117428,117454,"PER"
"Essai sur la subjectivité amoureuse dans le roman des Lumières",117456,117518,"PER"
"Jan Herman",117532,117542,"PER"
"Le mensonge romanesque",117544,117566,"PER"
"Paramètres",117568,117578,"PER"
"Huet",117662,117666,"PER"
"Le Héros",117668,117676,"PER"
"Essai sur le roman d’ascension sociale au XVIIIe siècle",117692,117747,"PER"
"Claire Jacquier",117839,117854,"PER"
"Romans",117877,117883,"PER"
"Henri Lafon",117927,117938,"PER"
"Espaces romanesques du XVIIIe siècle",117940,117976,"PER"
"Madame de Villedieu à Nodier",117992,118020,"PER"
"Philippe Laroche",118034,118050,"PER"
"évolution de la notion de libertinage dans le roman français du XVIIIe siècle",118077,118154,"PER"
"Wolfgang Matzat",118169,118184,"PER"
"Rousseau",118274,118282,"PER"
"Vivienne Mylne",118385,118399,"PER"
"Hans Rudolf Picard",118479,118497,"PER"
"Jean Rousset",118582,118594,"PER"
"Narcisse romancier",118596,118614,"PER"
"Jacques Rustin",118628,118642,"PER"
"Jean-Paul Sermain",118793,118810,"PER"
"Jürgen Siess",118917,118929,"PER"
"Diderot",119031,119038,"PER"
"Restif",119040,119046,"PER"
"Lespinasse",119048,119058,"PER"
"Jürgen von Stackeiberg",119076,119098,"PER"
"Philip Stewart",119310,119324,"PER"
"Le Masque et la parole",119326,119348,"PER"
"Philip Stewart",119402,119416,"PER"
"Half-told Tales",119418,119433,"PER"
"Tony Tanner",119497,119508,"PER"
"Pierre Trahard",119558,119572,"PER"
